"Contract ID","Plan ID","Organization Type","Plan Type","Offers Part D","SNP Plan","EGHP","Organization Name","Organization Marketing Name","Plan Name","Parent Organization","Contract Effective Date"
"H2461","006","1876 Cost","1876 Cost","No","No","No","BLUE CROSS AND BLUE SHIELD OF MINNESOTA","Blue Cross and Blue Shield of Minnesota","Platinum Blue Choice Plan (Cost)","Blue Cross and Blue Shield of Minnesota",01/01/1999 0:00:00
"H2461","007","1876 Cost","1876 Cost","No","No","No","BLUE CROSS AND BLUE SHIELD OF MINNESOTA","Blue Cross and Blue Shield of Minnesota","Platinum Blue Complete Plan (Cost)","Blue Cross and Blue Shield of Minnesota",01/01/1999 0:00:00
"H2461","008","1876 Cost","1876 Cost","Yes","No","No","BLUE CROSS AND BLUE SHIELD OF MINNESOTA","Blue Cross and Blue Shield of Minnesota","Platinum Blue Core Plan with Rx (Cost)","Blue Cross and Blue Shield of Minnesota",01/01/1999 0:00:00
"H2461","009","1876 Cost","1876 Cost","Yes","No","No","BLUE CROSS AND BLUE SHIELD OF MINNESOTA","Blue Cross and Blue Shield of Minnesota","Platinum Blue Choice Plan with Rx (Cost)","Blue Cross and Blue Shield of Minnesota",01/01/1999 0:00:00
"H2461","010","1876 Cost","1876 Cost","Yes","No","No","BLUE CROSS AND BLUE SHIELD OF MINNESOTA","Blue Cross and Blue Shield of Minnesota","Platinum Blue Complete Plan with Rx (Cost)","Blue Cross and Blue Shield of Minnesota",01/01/1999 0:00:00
"H2462","004","1876 Cost","1876 Cost","No","No","No","GROUP HEALTH PLAN, INC. (MN)","HealthPartners","HealthPartners Freedom Basic (Cost)","HealthPartners, Inc.",01/01/1999 0:00:00
"H2462","007","1876 Cost","1876 Cost","No","No","No","GROUP HEALTH PLAN, INC. (MN)","HealthPartners","HealthPartners Freedom Balance (Cost)","HealthPartners, Inc.",01/01/1999 0:00:00
"H2462","008","1876 Cost","1876 Cost","Yes","No","No","GROUP HEALTH PLAN, INC. (MN)","HealthPartners","HealthPartners Freedom Balance with Rx (Cost)","HealthPartners, Inc.",01/01/1999 0:00:00
"H2462","010","1876 Cost","1876 Cost","No","No","No","GROUP HEALTH PLAN, INC. (MN)","HealthPartners","HealthPartners Freedom Ultimate (Cost)","HealthPartners, Inc.",01/01/1999 0:00:00
"H2462","011","1876 Cost","1876 Cost","Yes","No","No","GROUP HEALTH PLAN, INC. (MN)","HealthPartners","HealthPartners Freedom Ultimate with Rx (Cost)","HealthPartners, Inc.",01/01/1999 0:00:00
"H2462","012","1876 Cost","1876 Cost","Yes","No","No","GROUP HEALTH PLAN, INC. (MN)","HealthPartners","HealthPartners Freedom Ultimate with Enhanced Rx (Cost)","HealthPartners, Inc.",01/01/1999 0:00:00
"H2462","015","1876 Cost","1876 Cost","No","No","No","GROUP HEALTH PLAN, INC. (MN)","HealthPartners","HealthPartners Wisconsin Freedom Basic (Cost)","HealthPartners, Inc.",01/01/1999 0:00:00
"H2462","016","1876 Cost","1876 Cost","No","No","No","GROUP HEALTH PLAN, INC. (MN)","HealthPartners","HealthPartners Wisconsin Freedom Balance (Cost)","HealthPartners, Inc.",01/01/1999 0:00:00
"H2462","017","1876 Cost","1876 Cost","Yes","No","No","GROUP HEALTH PLAN, INC. (MN)","HealthPartners","HealthPartners Wisconsin Freedom Balance with Rx (Cost)","HealthPartners, Inc.",01/01/1999 0:00:00
"H2462","018","1876 Cost","1876 Cost","No","No","No","GROUP HEALTH PLAN, INC. (MN)","HealthPartners","HealthPartners Freedom Vital (Cost)","HealthPartners, Inc.",01/01/1999 0:00:00
"H2462","019","1876 Cost","1876 Cost","Yes","No","No","GROUP HEALTH PLAN, INC. (MN)","HealthPartners","HealthPartners Freedom Vital with Rx (Cost)","HealthPartners, Inc.",01/01/1999 0:00:00
"H2462","801","1876 Cost","1876 Cost","Yes","No","Yes","GROUP HEALTH PLAN, INC. (MN)","HealthPartners","HealthPartners Freedom Calendar Year (Cost)","HealthPartners, Inc.",01/01/1999 0:00:00
"H2462","802","1876 Cost","1876 Cost","Yes","No","Yes","GROUP HEALTH PLAN, INC. (MN)","HealthPartners","HealthPartners Freedom Non-Calendar Year (Cost)","HealthPartners, Inc.",01/01/1999 0:00:00
"H2470","001","Local CCP","HMO/HMOPOS","Yes","Yes","No","FALLON HEALTH WEINBERG, INC","Fallon Health Weinberg","Fallon Health Weinberg (HMO SNP)","Fallon Community Health Plan",01/01/2015 0:00:00
"H2486","003","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA MEDICAL PLAN OF UTAH, INC.","Humana Medical Plan of Utah, Inc.","Humana Gold Plus H2486-003 (HMO)","Humana Inc.",01/01/2008 0:00:00
"H2486","801","Local CCP","HMO/HMOPOS","Yes","No","Yes","HUMANA MEDICAL PLAN OF UTAH, INC.","Humana Medical Plan of Utah, Inc.","Humana Medicare Employer (HMO)","Humana Inc.",01/01/2008 0:00:00
"H2486","802","Local CCP","HMO/HMOPOS","No","No","Yes","HUMANA MEDICAL PLAN OF UTAH, INC.","Humana Medical Plan of Utah, Inc.","Humana Medicare Employer (HMO)","Humana Inc.",01/01/2008 0:00:00
"H2491","002","Local CCP","HMO/HMOPOS","Yes","No","No","WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","'Ohana Health Plan","'Ohana Value (HMO-POS)","WellCare Health Plans, Inc.",01/01/2009 0:00:00
"H2491","004","Local CCP","HMO/HMOPOS","Yes","Yes","No","WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","'Ohana Health Plan","'Ohana Liberty (HMO-POS SNP)","WellCare Health Plans, Inc.",01/01/2009 0:00:00
"H2491","005","Local CCP","HMO/HMOPOS","Yes","No","No","WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","'Ohana Health Plan","'Ohana Choice (HMO-POS)","WellCare Health Plans, Inc.",01/01/2009 0:00:00
"H2506","001","Demo","Medicare-Medicaid Plan HMO/HMOPOS","Yes","No","No","AETNA BETTER HEALTH, INC. (IL)","Aetna Better Health Premier Plan","Aetna Better Health Premier Plan (Medicare-Medicaid Plan)","Aetna Inc.",02/01/2014 0:00:00
"H2531","001","Demo","Medicare-Medicaid Plan HMO/HMOPOS","Yes","No","No","UNITEDHEALTHCARE COMMUNITY PLAN OF OHIO, INC.","UnitedHealthcare Community Plan","UnitedHealthcare Connected for MyCareOhio (Medicare-Medicaid Plan)","UnitedHealth Group, Inc.",05/01/2014 0:00:00
"H2533","001","Demo","Medicare-Medicaid Plan HMO/HMOPOS","Yes","No","No","MOLINA HEALTHCARE OF SOUTH CAROLINA, INC.","Molina Healthcare of South Carolina","Molina Dual Options (Medicare-Medicaid Plan)","Molina Healthcare, Inc.,",02/01/2015 0:00:00
"H2537","001","National PACE","National PACE","Yes","No","No","LIFE LUTHERAN SERVICES, INC.","LIFE Lutheran Services, Inc.","LIFE Lutheran - Dual (PACE)","Lutheran Social Services of South Central PA",09/01/2008 0:00:00
"H2537","002","National PACE","National PACE","Yes","No","No","LIFE LUTHERAN SERVICES, INC.","LIFE Lutheran Services, Inc.","LIFE Lutheran - Medicare Only (PACE)","Lutheran Social Services of South Central PA",09/01/2008 0:00:00
"H2563","001","Local CCP","HMO/HMOPOS","Yes","No","No","OPTIMA HEALTH PLAN","Optima Health Plan","Optima Medicare Basic (HMO)","Sentara Health Care (SHC)",01/01/2014 0:00:00
"H2563","002","Local CCP","HMO/HMOPOS","Yes","No","No","OPTIMA HEALTH PLAN","Optima Health Plan","Optima Medicare Enhanced (HMO)","Sentara Health Care (SHC)",01/01/2014 0:00:00
"H2591","001","Local CCP","Local PPO","Yes","No","No","HEALTH ALLIANCE - MIDWEST, INC.","Health Alliance Medicare","Health Alliance Medicare Guide PPO Rx (PPO)","Health Alliance Medical Plans",01/01/2015 0:00:00
"H2591","801","Local CCP","Local PPO","No","No","Yes","HEALTH ALLIANCE - MIDWEST, INC.","Health Alliance Medicare","Health Alliance Medicare (PPO)","Health Alliance Medical Plans",01/01/2015 0:00:00
"H2591","802","Local CCP","Local PPO","Yes","No","Yes","HEALTH ALLIANCE - MIDWEST, INC.","Health Alliance Medicare","Health Alliance Medicare (PPO)","Health Alliance Medical Plans",01/01/2015 0:00:00
"H2591","803","Local CCP","Local PPO","Yes","No","Yes","HEALTH ALLIANCE - MIDWEST, INC.","Health Alliance Medicare","Health Alliance Medicare (non calendar) (PPO)","Health Alliance Medical Plans",01/01/2015 0:00:00
"H2593","001","Local CCP","HMO/HMOPOS","Yes","No","No","CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","CareMore Value Plus (HMO)","Anthem Inc.",01/01/2010 0:00:00
"H2593","003","Local CCP","HMO/HMOPOS","Yes","Yes","No","CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","CareMore Touch (HMO SNP)","Anthem Inc.",01/01/2010 0:00:00
"H2593","005","Local CCP","HMO/HMOPOS","Yes","Yes","No","CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","CareMore Breathe (HMO SNP)","Anthem Inc.",01/01/2010 0:00:00
"H2593","006","Local CCP","HMO/HMOPOS","Yes","Yes","No","CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","CareMore Diabetes (HMO SNP)","Anthem Inc.",01/01/2010 0:00:00
"H2593","007","Local CCP","HMO/HMOPOS","Yes","No","No","CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","CareMore Value Plus (HMO)","Anthem Inc.",01/01/2010 0:00:00
"H2593","011","Local CCP","HMO/HMOPOS","Yes","Yes","No","CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","CareMore Diabetes (HMO SNP)","Anthem Inc.",01/01/2010 0:00:00
"H2593","013","Local CCP","HMO/HMOPOS","Yes","Yes","No","CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","CareMore Heart (HMO SNP)","Anthem Inc.",01/01/2010 0:00:00
"H2593","014","Local CCP","HMO/HMOPOS","Yes","Yes","No","CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","CareMore Heart (HMO SNP)","Anthem Inc.",01/01/2010 0:00:00
"H2593","015","Local CCP","HMO/HMOPOS","Yes","Yes","No","CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","CareMore Breathe (HMO SNP)","Anthem Inc.",01/01/2010 0:00:00
"H2593","016","Local CCP","HMO/HMOPOS","Yes","No","No","CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","CareMore StartSmart Plus (HMO)","Anthem Inc.",01/01/2010 0:00:00
"H2593","018","Local CCP","HMO/HMOPOS","Yes","No","No","CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","CareMore StartSmart Plus (HMO)","Anthem Inc.",01/01/2010 0:00:00
"H2593","801","Local CCP","HMO/HMOPOS","No","No","Yes","CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","CareMore EGWP (HMO)","Anthem Inc.",01/01/2010 0:00:00
"H2593","802","Local CCP","HMO/HMOPOS","Yes","No","Yes","CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","CareMore EGWP MAPD (HMO)","Anthem Inc.",01/01/2010 0:00:00
"H2593","804","Local CCP","HMO/HMOPOS","Yes","No","Yes","CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","CareMore EGWP MAPD (HMO)","Anthem Inc.",01/01/2010 0:00:00
"H2609","001","National PACE","National PACE","Yes","No","No","ALEXIAN BROTHERS COMMUNITY SERVICES","Alexian Brothers Community Services","Dual Eligibles (PACE)","Acension Health",11/01/2001 0:00:00
"H2609","002","National PACE","National PACE","Yes","No","No","ALEXIAN BROTHERS COMMUNITY SERVICES","Alexian Brothers Community Services","Medicare Only (PACE)","Acension Health",11/01/2001 0:00:00
"H2610","005","Local CCP","HMO/HMOPOS","Yes","No","No","ESSENCE HEALTHCARE, INC.","Essence Healthcare","Essence Advantage (HMO)","Essence Group Holdings Corporation",06/01/2004 0:00:00
"H2610","006","Local CCP","HMO/HMOPOS","Yes","No","No","ESSENCE HEALTHCARE, INC.","Essence Healthcare","Essence Advantage Plus (HMO)","Essence Group Holdings Corporation",06/01/2004 0:00:00
"H2610","011","Local CCP","HMO/HMOPOS","Yes","No","No","ESSENCE HEALTHCARE, INC.","Essence Healthcare","Essence Advantage (HMO)","Essence Group Holdings Corporation",06/01/2004 0:00:00
"H2610","014","Local CCP","HMO/HMOPOS","Yes","No","No","ESSENCE HEALTHCARE, INC.","Essence Healthcare","Essence Platinum (HMO-POS)","Essence Group Holdings Corporation",06/01/2004 0:00:00
"H2610","015","Local CCP","HMO/HMOPOS","Yes","No","No","ESSENCE HEALTHCARE, INC.","Essence Healthcare","CoxHealth MedicarePlus (HMO)","Essence Group Holdings Corporation",06/01/2004 0:00:00
"H2610","803","Local CCP","HMO/HMOPOS","Yes","No","Yes","ESSENCE HEALTHCARE, INC.","Essence Healthcare","Essence Advantage Employer Group Plan (HMO)","Essence Group Holdings Corporation",06/01/2004 0:00:00
"H2610","804","Local CCP","HMO/HMOPOS","Yes","No","Yes","ESSENCE HEALTHCARE, INC.","Essence Healthcare","Essence Advantage Employer Group Plan non-calendar (HMO)","Essence Group Holdings Corporation",06/01/2004 0:00:00
"H2611","001","Local CCP","Local PPO","Yes","No","No","COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Coventry Health Care","Advantra (PPO)","Aetna Inc.",01/01/2005 0:00:00
"H2611","008","Local CCP","Local PPO","Yes","No","No","COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Coventry Health Care","Advantra Premier Plus (PPO)","Aetna Inc.",01/01/2005 0:00:00
"H2611","018","Local CCP","Local PPO","Yes","No","No","COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Coventry Health Care","Coventry Premier Plus (PPO)","Aetna Inc.",01/01/2005 0:00:00
"H2611","807","Local CCP","Local PPO","Yes","No","Yes","COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Coventry Health Care","Emp w Rx CY (PPO)","Aetna Inc.",01/01/2005 0:00:00
"H2611","809","Local CCP","Local PPO","Yes","No","Yes","COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Coventry Health Care","Employer Group with RX CY (PPO)","Aetna Inc.",01/01/2005 0:00:00
"H2611","824","Local CCP","Local PPO","No","No","Yes","COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Coventry Health Care","Employer Group Calendar Year no Rx (PPO)","Aetna Inc.",01/01/2005 0:00:00
"H2649","004","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H2649-004 (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","012","Local CCP","HMO/HMOPOS","No","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H2649-012 (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","020","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H2649-020 (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","021","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H2649-021 (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","023","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H2649-023 (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","024","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H2649-024 (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","025","Local CCP","HMO/HMOPOS","Yes","Yes","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus - Diabetes and Heart (HMO SNP)","Humana Inc.",01/01/1990 0:00:00
"H2649","028","Local CCP","HMO/HMOPOS","Yes","Yes","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus SNP-DE H2649-028 (HMO SNP)","Humana Inc.",01/01/1990 0:00:00
"H2649","029","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H2649-029 (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","030","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H2649-030 (HMO-POS)","Humana Inc.",01/01/1990 0:00:00
"H2649","031","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Community HMO (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","032","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H2649-032 (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","033","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H2649-033 (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","034","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H2649-034 (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","035","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H2649-035 (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","036","Local CCP","HMO/HMOPOS","Yes","Yes","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus - Diabetes and Heart (HMO SNP)","Humana Inc.",01/01/1990 0:00:00
"H2649","039","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H2649-039 (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","040","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H2649-040 (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","041","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H2649-041 (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","042","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H2649-042 (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","043","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Gold Plus H2649-043 (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","801","Local CCP","HMO/HMOPOS","Yes","No","Yes","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Medicare Employer (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","802","Local CCP","HMO/HMOPOS","No","No","Yes","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Medicare Employer (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","807","Local CCP","HMO/HMOPOS","Yes","No","Yes","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Medicare Employer (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","808","Local CCP","HMO/HMOPOS","No","No","Yes","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Medicare Employer (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","814","Local CCP","HMO/HMOPOS","Yes","No","Yes","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Medicare Employer (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2649","815","Local CCP","HMO/HMOPOS","No","No","Yes","HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Medicare Employer (HMO)","Humana Inc.",01/01/1990 0:00:00
"H2654","010","Local CCP","HMO/HMOPOS","Yes","No","No","UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealthcare","AARP MedicareComplete (HMO)","UnitedHealth Group, Inc.",10/01/1992 0:00:00
"H2654","013","Local CCP","HMO/HMOPOS","Yes","No","No","UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealthcare","AARP MedicareComplete (HMO)","UnitedHealth Group, Inc.",10/01/1992 0:00:00
"H2654","033","Local CCP","HMO/HMOPOS","Yes","No","No","UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealthcare","AARP MedicareComplete Focus (HMO)","UnitedHealth Group, Inc.",10/01/1992 0:00:00
"H2654","801","Local CCP","HMO/HMOPOS","Yes","No","Yes","UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (HMO)","UnitedHealth Group, Inc.",10/01/1992 0:00:00
"H2654","802","Local CCP","HMO/HMOPOS","No","No","Yes","UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (HMO)","UnitedHealth Group, Inc.",10/01/1992 0:00:00
"H2654","803","Local CCP","HMO/HMOPOS","Yes","No","Yes","UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (HMO)","UnitedHealth Group, Inc.",10/01/1992 0:00:00
"H2654","804","Local CCP","HMO/HMOPOS","No","No","Yes","UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (HMO)","UnitedHealth Group, Inc.",10/01/1992 0:00:00
"H2654","805","Local CCP","HMO/HMOPOS","Yes","No","Yes","UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (HMO)","UnitedHealth Group, Inc.",10/01/1992 0:00:00
"H2654","807","Local CCP","HMO/HMOPOS","Yes","No","Yes","UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (HMO)","UnitedHealth Group, Inc.",10/01/1992 0:00:00
"H2663","002","Local CCP","HMO/HMOPOS","Yes","No","No","COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care of Missouri, Inc.","Advantra Option 2 (HMO)","Aetna Inc.",11/01/1995 0:00:00
"H2663","005","Local CCP","HMO/HMOPOS","Yes","No","No","COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care of Missouri, Inc.","Gold Advantage (HMO)","Aetna Inc.",11/01/1995 0:00:00
"H2663","006","Local CCP","HMO/HMOPOS","Yes","No","No","COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care of Missouri, Inc.","Advantra Option 1 (HMO-POS)","Aetna Inc.",11/01/1995 0:00:00
"H2663","014","Local CCP","HMO/HMOPOS","Yes","Yes","No","COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care of Missouri, Inc.","Advantra Dual Eligible SNP (HMO SNP)","Aetna Inc.",11/01/1995 0:00:00
"H2663","015","Local CCP","HMO/HMOPOS","Yes","No","No","COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care of Missouri, Inc.","Coventry Total Care (HMO-POS)","Aetna Inc.",11/01/1995 0:00:00
"H2663","016","Local CCP","HMO/HMOPOS","Yes","No","No","COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care of Missouri, Inc.","Coventry Total Care (HMO)","Aetna Inc.",11/01/1995 0:00:00
"H2663","017","Local CCP","HMO/HMOPOS","Yes","No","No","COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care of Missouri, Inc.","Coventry Total Care (HMO)","Aetna Inc.",11/01/1995 0:00:00
"H2663","018","Local CCP","HMO/HMOPOS","Yes","No","No","COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care of Missouri, Inc.","Advantra (HMO)","Aetna Inc.",11/01/1995 0:00:00
"H2663","802","Local CCP","HMO/HMOPOS","Yes","No","Yes","COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care of Missouri, Inc.","Employer Group Calendar Rx (HMO)","Aetna Inc.",11/01/1995 0:00:00
"H2663","804","Local CCP","HMO/HMOPOS","Yes","No","Yes","COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care of Missouri, Inc.","Employer Group Non Calendar Rx (HMO)","Aetna Inc.",11/01/1995 0:00:00
"H2663","805","Local CCP","HMO/HMOPOS","No","No","Yes","COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care of Missouri, Inc.","Employer Group Calendar No Rx (HMO)","Aetna Inc.",11/01/1995 0:00:00
"H2663","810","Local CCP","HMO/HMOPOS","Yes","No","Yes","COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care of Missouri, Inc.","Employer Group SOI w/Rx (HMO)","Aetna Inc.",11/01/1995 0:00:00
"H2667","001","Local CCP","HMO/HMOPOS","Yes","No","No","COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care","Coventry Advantage (HMO)","Aetna Inc.",02/01/1997 0:00:00
"H2667","012","Local CCP","HMO/HMOPOS","No","No","No","COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care","Coventry Advantage (no drug) (HMO)","Aetna Inc.",02/01/1997 0:00:00
"H2667","017","Local CCP","HMO/HMOPOS","Yes","No","No","COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care","Coventry Advantage Plus (HMO-POS)","Aetna Inc.",02/01/1997 0:00:00
"H2667","807","Local CCP","HMO/HMOPOS","Yes","No","Yes","COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care","Employer Group With  RX CY (HMO)","Aetna Inc.",02/01/1997 0:00:00
"H2667","808","Local CCP","HMO/HMOPOS","No","No","Yes","COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care","Employer Group  no RX CY (HMO)","Aetna Inc.",02/01/1997 0:00:00
"H2672","001","Local CCP","HMO/HMOPOS","Yes","No","No","COVENTRY HEALTH CARE OF KANSAS, INC.","Coventry Health Care","Advantra Advantage (HMO)","Aetna Inc.",05/01/1999 0:00:00
"H2672","008","Local CCP","HMO/HMOPOS","Yes","No","No","COVENTRY HEALTH CARE OF KANSAS, INC.","Coventry Health Care","Advantra Advantage (HMO)","Aetna Inc.",05/01/1999 0:00:00
"H2672","009","Local CCP","HMO/HMOPOS","Yes","No","No","COVENTRY HEALTH CARE OF KANSAS, INC.","Coventry Health Care","Coventry Medicare Advantage Total Care (HMO)","Aetna Inc.",05/01/1999 0:00:00
"H2672","010","Local CCP","HMO/HMOPOS","Yes","No","No","COVENTRY HEALTH CARE OF KANSAS, INC.","Coventry Health Care","Advantra Total Care (HMO)","Aetna Inc.",05/01/1999 0:00:00
"H2672","012","Local CCP","HMO/HMOPOS","Yes","No","No","COVENTRY HEALTH CARE OF KANSAS, INC.","Coventry Health Care","Coventry Advantage (HMO)","Aetna Inc.",05/01/1999 0:00:00
"H2672","017","Local CCP","HMO/HMOPOS","No","No","No","COVENTRY HEALTH CARE OF KANSAS, INC.","Coventry Health Care","Coventry Select (no drug) (HMO)","Aetna Inc.",05/01/1999 0:00:00
